,link,image,item
60,https://www.minted.com//product/wall-art-prints/MIN-GOZ-GNA/dunes-of-africa,http://mintedcdn0.global.ssl.fastly.net/files/mintedProductsImages/MIN/GNA/GOX/MIN-GOX-GNA-002A_A_PD.jpg?_=16705&,59art.jpg
61,https://www.minted.com//product/wall-art-prints/MIN-13R-GNA/below-the-sea,http://mintedcdn1.global.ssl.fastly.net/files/mintedProductsImages/MIN/GNA/13R/MIN-13R-GNA-002A_A_PD.jpg?_=16705&,60art.jpg
62,https://www.minted.com//product/wall-art-prints/MIN-73H-GNA/paradise-for-the-soul,http://mintedcdn1.global.ssl.fastly.net/files/mintedProductsImages/MIN/GNA/27S/MIN-27S-GNA-002A_A_PD.jpg?_=16705&,61art.jpg
63,https://www.minted.com//product/wall-art-prints/MIN-4OI-GNA/nonchalant,http://mintedcdn0.global.ssl.fastly.net/files/mintedProductsImages/MIN/GNA/4OG/MIN-4OG-GNA-002A_A_PD.jpg?_=16705&,62art.jpg
64,https://www.minted.com//product/wall-art-prints/MIN-M1N-GNA/foggy-autumn-forest-morning,http://mintedcdn0.global.ssl.fastly.net/files/mintedProductsImages/MIN/GNA/ALW/MIN-ALW-GNA-002A_A_PD.jpg?_=16705&,63art.jpg
65,https://www.minted.com//product/wall-art-prints/MIN-RC2-GNA/study-the-pi,http://mintedcdn1.global.ssl.fastly.net/files/mintedProductsImages/MIN/GNA/RBY/MIN-RBY-GNA-002A_A_PD.jpg?_=16705&,64art.jpg
66,https://www.minted.com//product/wall-art-prints/MIN-4T9-GNA/construct-9,http://mintedcdn0.global.ssl.fastly.net/files/mintedProductsImages/MIN/GNA/4T3/MIN-4T3-GNA-002A_A_PD.jpg?_=16705&,65art.jpg
67,https://www.minted.com//product/wall-art-prints/MIN-5QO-GNA/last-of-the-light,http://mintedcdn0.global.ssl.fastly.net/files/mintedProductsImages/MIN/GNA/5QO/MIN-5QO-GNA-002A_A_PD.jpg?_=16705&,66art.jpg
68,https://www.minted.com//product/wall-art-prints/MIN-26J-GNA/traction,http://mintedcdn0.global.ssl.fastly.net/files/mintedProductsImages/MIN/GNA/12N/MIN-12N-GNA-002A_A_PD.jpg?_=16705&,67art.jpg
69,https://www.minted.com//product/wall-art-prints/MIN-D4B-GNA/amour,http://mintedcdn0.global.ssl.fastly.net/files/mintedProductsImages/MIN/GNA/4IW/MIN-4IW-GNA-002A_A_PD.jpg?_=16705&,68art.jpg
70,https://www.minted.com//product/wall-art-prints/MIN-044-GNA/the-sunday-blues,http://mintedcdn1.global.ssl.fastly.net/files/mintedProductsImages/MIN/GNA/040/MIN-040-GNA-002A_A_PD.jpg?_=16705&,69art.jpg
71,https://www.minted.com//product/wall-art-prints/MIN-FSD-GNA/ghent,http://mintedcdn0.global.ssl.fastly.net/files/mintedProductsImages/MIN/GNA/FS9/MIN-FS9-GNA-002A_A_PD.jpg?_=16705&,70art.jpg
72,https://www.minted.com//product/wall-art-prints/MIN-QJD-GOA/sunset-wall,http://mintedcdn1.global.ssl.fastly.net/files/mintedProductsImages/MIN/GOA/QJ7/MIN-QJ7-GOA-002A_A_PD.jpg?_=16705&,71art.jpg
73,https://www.minted.com//product/wall-art-prints/MIN-5F7-GNA/tree-rings-pt-1,http://mintedcdn0.global.ssl.fastly.net/files/mintedProductsImages/MIN/GNA/4TX/MIN-4TX-GNA-002A_A_PD.jpg?_=16705&,72art.jpg
74,https://www.minted.com//product/wall-art-prints/MIN-8LQ-GNA/offset,http://mintedcdn0.global.ssl.fastly.net/files/mintedProductsImages/MIN/GNA/8LN/MIN-8LN-GNA-002A_A_PD.jpg?_=16705&,73art.jpg
